accelX,accelY,accelZ,timestamp
-117.200005,70.32,949.320007,633145
-117.200005,58.600002,937.600037,633149
-105.480003,70.32,937.600037,633153
-105.480003,70.32,949.320007,633157
-117.200005,70.32,972.76001,633161
-105.480003,58.600002,961.040039,633165
-105.480003,82.040001,949.320007,633169
-93.760002,70.32,972.76001,633173
-105.480003,70.32,961.040039,633177
-105.480003,82.040001,972.76001,633181
-128.919998,58.600002,961.040039,633185
-128.919998,70.32,961.040039,633189
-117.200005,35.16,949.320007,633193
-117.200005,82.040001,961.040039,633197
-117.200005,93.760002,972.76001,633201
-128.919998,82.040001,961.040039,633205
-117.200005,82.040001,949.320007,633209
-117.200005,70.32,949.320007,633213
-93.760002,82.040001,961.040039,633217
-105.480003,70.32,972.76001,633221
-128.919998,58.600002,949.320007,633225
-128.919998,93.760002,972.76001,633229
-105.480003,82.040001,972.76001,633233
-128.919998,93.760002,961.040039,633237
-105.480003,58.600002,949.320007,633241
-128.919998,82.040001,949.320007,633245
-117.200005,70.32,949.320007,633249
-128.919998,82.040001,925.880005,633253
-117.200005,58.600002,949.320007,633257
-117.200005,70.32,961.040039,633261
-93.760002,82.040001,961.040039,633265
-105.480003,82.040001,949.320007,633269
-105.480003,70.32,961.040039,633273
-105.480003,58.600002,949.320007,633277
-93.760002,58.600002,961.040039,633281
-93.760002,82.040001,937.600037,633285
-93.760002,58.600002,937.600037,633289
-105.480003,82.040001,949.320007,633293
-93.760002,82.040001,961.040039,633297
-117.200005,93.760002,949.320007,633301
-128.919998,82.040001,949.320007,633305
-128.919998,82.040001,961.040039,633309
-105.480003,58.600002,961.040039,633313
-105.480003,70.32,949.320007,633317
-140.639999,82.040001,937.600037,633321
-140.639999,93.760002,937.600037,633325
-105.480003,46.880001,949.320007,633329
-105.480003,58.600002,961.040039,633333
-117.200005,58.600002,949.320007,633337
-140.639999,93.760002,961.040039,633341
-128.919998,93.760002,961.040039,633345
-105.480003,105.480003,972.76001,633349
-105.480003,82.040001,961.040039,633353
-105.480003,70.32,937.600037,633357
-117.200005,58.600002,937.600037,633361
-93.760002,82.040001,961.040039,633365
-117.200005,46.880001,949.320007,633369
-105.480003,58.600002,949.320007,633373
-117.200005,46.880001,949.320007,633377
-105.480003,93.760002,961.040039,633381
-117.200005,58.600002,949.320007,633385
-117.200005,70.32,961.040039,633389
-105.480003,93.760002,961.040039,633393
-117.200005,93.760002,949.320007,633397
-128.919998,93.760002,972.76001,633401
-117.200005,82.040001,961.040039,633405
-117.200005,82.040001,949.320007,633409
-128.919998,93.760002,961.040039,633413
-117.200005,105.480003,961.040039,633417
-140.639999,93.760002,961.040039,633421
-140.639999,82.040001,961.040039,633425
-128.919998,82.040001,949.320007,633429
-105.480003,70.32,961.040039,633433
-117.200005,58.600002,949.320007,633437
-105.480003,58.600002,949.320007,633441
-93.760002,70.32,937.600037,633445
-105.480003,58.600002,937.600037,633449
-117.200005,70.32,925.880005,633453
-117.200005,58.600002,949.320007,633457
-105.480003,82.040001,949.320007,633461
-117.200005,105.480003,949.320007,633465
-140.639999,105.480003,961.040039,633469
-128.919998,82.040001,961.040039,633473
-117.200005,70.32,949.320007,633477
-117.200005,82.040001,949.320007,633481
-117.200005,70.32,961.040039,633485
-117.200005,58.600002,984.480042,633489
-117.200005,70.32,961.040039,633493
-117.200005,70.32,961.040039,633497
-140.639999,82.040001,961.040039,633501
-140.639999,82.040001,961.040039,633505
-128.919998,70.32,961.040039,633509
-128.919998,82.040001,949.320007,633513
-117.200005,46.880001,961.040039,633517
-117.200005,58.600002,937.600037,633521
-105.480003,58.600002,961.040039,633525
-117.200005,70.32,972.76001,633529
-117.200005,82.040001,972.76001,633533
-117.200005,93.760002,961.040039,633537
-128.919998,58.600002,961.040039,633541
-140.639999,70.32,972.76001,633545
-117.200005,82.040001,961.040039,633549
-128.919998,58.600002,972.76001,633553
-105.480003,46.880001,961.040039,633557
-117.200005,46.880001,937.600037,633561
-117.200005,46.880001,937.600037,633565
-105.480003,82.040001,937.600037,633569
-117.200005,82.040001,961.040039,633573
