accelX,accelY,accelZ,timestamp
-124.800003,27.300001,945.75,96002
-134.550003,42.900002,947.700012,96006
-120.900002,37.049999,1012.050049,96010
-132.600006,37.049999,988.650024,96014
-124.800003,29.25,1006.200012,96018
-130.650009,27.300001,967.200012,96022
-126.75,33.150002,978.900024,96026
-124.800003,33.150002,978.900024,96030
-132.600006,27.300001,994.5,96034
-130.650009,33.150002,982.800049,96038
-124.800003,33.150002,978.900024,96042
-132.600006,33.150002,973.050049,96046
-128.699997,40.950001,990.600037,96050
-128.699997,39,998.400024,96054
-130.650009,31.200001,1006.200012,96058
-122.850006,35.100002,971.100037,96062
-115.050003,31.200001,969.150024,96066
-124.800003,35.100002,971.100037,96070
-124.800003,33.150002,984.75,96074
-128.699997,37.049999,984.75,96078
-126.75,31.200001,988.650024,96082
-126.75,29.25,976.950012,96086
-130.650009,31.200001,976.950012,96090
-126.75,29.25,982.800049,96094
-126.75,29.25,986.700012,96098
-124.800003,29.25,975,96102
-126.75,27.300001,978.900024,96106
-126.75,35.100002,969.150024,96110
-130.650009,37.049999,969.150024,96114
-128.699997,35.100002,986.700012,96118
-128.699997,37.049999,988.650024,96122
-124.800003,29.25,980.850037,96126
-126.75,31.200001,978.900024,96130
-124.800003,27.300001,988.650024,96134
-126.75,31.200001,984.75,96138
-124.800003,27.300001,980.850037,96142
-128.699997,29.25,986.700012,96146
-126.75,23.400002,982.800049,96150
-126.75,25.35,973.050049,96154
-122.850006,23.400002,975,96158
-118.950005,35.100002,984.75,96162
-156,35.100002,982.800049,96166
-128.699997,31.200001,986.700012,96170
-130.650009,27.300001,982.800049,96174
-130.650009,27.300001,976.950012,96178
-128.699997,31.200001,982.800049,96182
-132.600006,29.25,975,96186
-126.75,35.100002,975,96190
-124.800003,37.049999,976.950012,96194
-130.650009,31.200001,978.900024,96198
-124.800003,25.35,976.950012,96202
-132.600006,35.100002,976.950012,96206
-130.650009,33.150002,986.700012,96210
-126.75,33.150002,988.650024,96214
-120.900002,35.100002,986.700012,96218
-128.699997,31.200001,982.800049,96222
-128.699997,27.300001,982.800049,96226
-124.800003,29.25,978.900024,96230
-128.699997,33.150002,980.850037,96234
-134.550003,31.200001,978.900024,96238
-128.699997,31.200001,980.850037,96242
-128.699997,27.300001,986.700012,96246
-128.699997,25.35,984.75,96250
-130.650009,29.25,980.850037,96254
-126.75,40.950001,984.75,96258
-132.600006,37.049999,986.700012,96262
-132.600006,31.200001,980.850037,96266
-126.75,25.35,978.900024,96270
-120.900002,31.200001,976.950012,96274
-122.850006,31.200001,980.850037,96278
-124.800003,31.200001,986.700012,96282
-132.600006,29.25,986.700012,96286
-128.699997,31.200001,980.850037,96290
-118.950005,35.100002,980.850037,96294
-126.75,35.100002,978.900024,96298
-126.75,37.049999,994.5,96302
-124.800003,33.150002,986.700012,96306
-126.75,42.900002,980.850037,96310
-126.75,33.150002,982.800049,96314
-130.650009,33.150002,978.900024,96318
-132.600006,29.25,975,96322
-130.650009,35.100002,976.950012,96326
-130.650009,31.200001,984.75,96330
-128.699997,31.200001,984.75,96334
-128.699997,31.200001,975,96338
-124.800003,31.200001,978.900024,96342
-126.75,33.150002,980.850037,96346
-126.75,27.300001,984.75,96350
-126.75,35.100002,982.800049,96354
-126.75,29.25,984.75,96358
-130.650009,39,986.700012,96362
-126.75,33.150002,978.900024,96366
-124.800003,31.200001,980.850037,96370
-124.800003,31.200001,990.600037,96374
-130.650009,35.100002,982.800049,96378
-128.699997,31.200001,980.850037,96382
-117,37.049999,980.850037,96386
-120.900002,39,975,96390
-126.75,35.100002,978.900024,96394
-128.699997,31.200001,978.900024,96398
-130.650009,29.25,980.850037,96402
-130.650009,31.200001,980.850037,96406
-130.650009,35.100002,984.75,96410
-126.75,35.100002,980.850037,96414
-128.699997,27.300001,978.900024,96418
-130.650009,25.35,976.950012,96422
-128.699997,31.200001,975,96426
-126.75,37.049999,980.850037,96430
-124.800003,31.200001,980.850037,96434
-124.800003,31.200001,978.900024,96438
-124.800003,35.100002,982.800049,96442
-122.850006,33.150002,986.700012,96446
-124.800003,31.200001,980.850037,96450
-120.900002,31.200001,980.850037,96454
-128.699997,29.25,982.800049,96458
-128.699997,31.200001,980.850037,96462
-124.800003,33.150002,980.850037,96466
-124.800003,35.100002,982.800049,96470
-130.650009,35.100002,976.950012,96474
-132.600006,33.150002,980.850037,96478
-126.75,37.049999,978.900024,96482
-132.600006,39,982.800049,96486
-124.800003,39,975,96490
-126.75,39,982.800049,96494
-126.75,31.200001,986.700012,96498
-124.800003,37.049999,982.800049,96502
-126.75,33.150002,978.900024,96506
-122.850006,31.200001,976.950012,96510
-124.800003,29.25,969.150024,96514
-122.850006,31.200001,976.950012,96518
-126.75,35.100002,978.900024,96522
-124.800003,39,975,96526
-128.699997,33.150002,976.950012,96530
-128.699997,37.049999,978.900024,96534
-126.75,31.200001,980.850037,96538
-124.800003,39,973.050049,96542
-126.75,31.200001,973.050049,96546
-128.699997,29.25,975,96550
-124.800003,27.300001,982.800049,96554
-130.650009,31.200001,982.800049,96558
-128.699997,33.150002,984.75,96562
-132.600006,35.100002,982.800049,96566
-124.800003,33.150002,975,96570
-124.800003,29.25,978.900024,96574
-126.75,33.150002,982.800049,96578
-130.650009,37.049999,982.800049,96582
-126.75,35.100002,986.700012,96586
-126.75,35.100002,978.900024,96590
-120.900002,37.049999,973.050049,96594
-126.75,29.25,984.75,96598
-152.100006,31.200001,988.650024,96602
-126.75,33.150002,982.800049,96606
-128.699997,35.100002,973.050049,96610
-128.699997,29.25,978.900024,96614
-122.850006,33.150002,980.850037,96618
-122.850006,31.200001,980.850037,96622
-122.850006,29.25,973.050049,96626
-128.699997,35.100002,973.050049,96630
-128.699997,33.150002,978.900024,96634
-132.600006,35.100002,982.800049,96638
-130.650009,27.300001,984.75,96642
-128.699997,31.200001,984.75,96646
-128.699997,29.25,982.800049,96650
-128.699997,35.100002,982.800049,96654
-122.850006,33.150002,984.75,96658
-122.850006,33.150002,980.850037,96662
-130.650009,39,978.900024,96666
-124.800003,35.100002,980.850037,96670
-128.699997,33.150002,986.700012,96674
-126.75,31.200001,988.650024,96678
-124.800003,31.200001,986.700012,96682
-128.699997,33.150002,984.75,96686
-128.699997,29.25,986.700012,96690
-126.75,39,978.900024,96694
-128.699997,39,978.900024,96698
-126.75,25.35,980.850037,96702
-122.850006,31.200001,975,96706
-126.75,27.300001,986.700012,96710
-128.699997,27.300001,984.75,96714
-130.650009,29.25,986.700012,96718
-128.699997,29.25,982.800049,96722
-132.600006,31.200001,982.800049,96726
-126.75,35.100002,980.850037,96730
-126.75,35.100002,986.700012,96734
-128.699997,29.25,984.75,96738
-126.75,29.25,982.800049,96742
-134.550003,37.049999,976.950012,96746
-126.75,31.200001,975,96750
-128.699997,31.200001,984.75,96754
-126.75,35.100002,984.75,96758
-130.650009,31.200001,984.75,96762
-126.75,31.200001,975,96766
-128.699997,31.200001,980.850037,96770
-128.699997,31.200001,978.900024,96774
-124.800003,33.150002,980.850037,96778
-126.75,35.100002,978.900024,96782
-124.800003,33.150002,984.75,96786
-126.75,37.049999,980.850037,96790
