accelX, accelY, accelZ, magX, magY, magZ, pressure, altitude, timestamp
35.100002, -783.900024, 596.700012, -4.500000, 399.000000, -564.000000, 970.832031, 359.236694, 110316
39.000000, -787.800049, 604.500000, -4.500000, 399.000000, -564.000000, 970.832031, 359.236694, 110327
35.100002, -787.800049, 592.799988, -4.500000, 399.000000, -564.000000, 970.906250, 358.597076, 110338
27.300001, -787.800049, 585.000000, -4.500000, 399.000000, -564.000000, 970.906250, 358.597076, 110349
15.600000, -787.800049, 585.000000, -4.500000, 399.000000, -564.000000, 970.927490, 358.414398, 110360
39.000000, -783.900024, 585.000000, -4.500000, 399.000000, -564.000000, 970.927490, 358.414398, 110371
19.500000, -787.800049, 600.600037, -4.500000, 399.000000, -564.000000, 970.927490, 358.414398, 110382
23.400002, -799.500000, 588.900024, -4.500000, 399.000000, -564.000000, 970.927490, 358.414398, 110393
31.200001, -783.900024, 600.600037, -1.500000, 396.000000, -565.500000, 970.927490, 358.414398, 110404
23.400002, -787.800049, 588.900024, -1.500000, 396.000000, -565.500000, 970.927490, 358.414398, 110415
27.300001, -787.800049, 585.000000, -1.500000, 396.000000, -565.500000, 970.825684, 358.635071, 110426
31.200001, -795.600037, 592.799988, -1.500000, 396.000000, -565.500000, 970.825684, 358.635071, 110437
31.200001, -795.600037, 585.000000, -1.500000, 396.000000, -565.500000, 970.825684, 358.635071, 110448
27.300001, -791.700012, 588.900024, -1.500000, 396.000000, -565.500000, 970.825684, 358.635071, 110459
31.200001, -783.900024, 585.000000, -1.500000, 396.000000, -565.500000, 970.825684, 358.635071, 110470
27.300001, -807.300049, 600.600037, -1.500000, 396.000000, -565.500000, 970.808105, 358.550751, 110481
15.600000, -795.600037, 592.799988, -1.500000, 396.000000, -565.500000, 970.808105, 358.550751, 110492
27.300001, -787.800049, 577.200012, -13.500000, 400.500000, -562.500000, 970.808105, 358.550751, 110503
27.300001, -787.800049, 596.700012, -13.500000, 400.500000, -562.500000, 970.808105, 358.550751, 110514
27.300001, -795.600037, 573.299988, -13.500000, 400.500000, -562.500000, 970.826416, 357.669739, 110525
23.400002, -791.700012, 577.200012, -13.500000, 400.500000, -562.500000, 970.826416, 357.669739, 110536
23.400002, -795.600037, 581.100037, -13.500000, 400.500000, -562.500000, 970.826416, 357.669739, 110547
19.500000, -791.700012, 588.900024, -13.500000, 400.500000, -562.500000, 970.837646, 359.188293, 110558
27.300001, -791.700012, 600.600037, -13.500000, 400.500000, -562.500000, 970.837646, 359.188293, 110569
